"TCG region",Expansion,"Card number","Card number sorting order","Card name",Rarity,"Card variant","Card language","Card condition",Note,Quantity
International,"Temporal Forces",110/162,110,Forretress,Uncommon,Normal,English,Unspecified,,1
International,"Temporal Forces",114/162,114,Metang,Common,Normal,English,Unspecified,,1
International,"Temporal Forces",126/162,126,Hoothoot,Common,Normal,English,Unspecified,,1
International,"Temporal Forces",128/162,128,Dunsparce,Common,Normal,English,Unspecified,,1
International,"Temporal Forces",132/162,132,Chatot,Common,Normal,English,Unspecified,,1
International,"Temporal Forces",139/162,139,"Iron Jugulis",Uncommon,Normal,English,Unspecified,,1
International,"Temporal Forces",140/162,140,"Ancient Booster Energy Capsule",Uncommon,Normal,English,Unspecified,,1
International,"Paldean Fates",001/091,1,Pineco,Common,Normal,English,Unspecified,,1
International,"Paldean Fates",003/091,3,Maractus,Common,Normal,English,Unspecified,,1
International,"Paldean Fates",004/091,4,Toedscool,Common,Normal,English,Unspecified,,1
International,"Paldean Fates",009/091,9,Magmar,Common,Normal,English,Unspecified,,1
International,"Paldean Fates",011/091,11,Numel,Common,Normal,English,Unspecified,,2
International,"Paldean Fates",012/091,12,Camerupt,Uncommon,Normal,English,Unspecified,,1
International,"Paldean Fates",017/091,17,Frigibax,Common,Normal,English,Unspecified,,1
International,"Paldean Fates",023/091,23,Exeggcute,Common,Normal,English,Unspecified,,1
International,"Paldean Fates",025/091,25,Natu,Common,Normal,English,Unspecified,,1
International,"Paldean Fates",027/091,27,Ralts,Common,Normal,English,Unspecified,,1
International,"Paldean Fates",028/091,28,Kirlia,Uncommon,Normal,English,Unspecified,,1
International,"Paldean Fates",033/091,33,Swoobat,Uncommon,Normal,English,Unspecified,,1
International,"Paldean Fates",035/091,35,Whimsicott,Uncommon,Normal,English,Unspecified,,1
International,"Paldean Fates",036/091,36,Dedenne,Common,Normal,English,Unspecified,,1
International,"Paldean Fates",039/091,39,Dachsbun,Uncommon,Normal,English,Unspecified,,1
International,"Paldean Fates",042/091,42,Greavard,Common,Normal,English,Unspecified,,1
International,"Paldean Fates",044/091,44,Gimmighoul,Common,Normal,English,Unspecified,,1
International,"Paldean Fates",055/091,55,Gastly,Common,Normal,English,Unspecified,,1
International,"Paldean Fates",057/091,57,Gengar,Uncommon,Normal,English,Unspecified,,1
International,"Paldean Fates",058/091,58,"Paldean Wooper",Common,Normal,English,Unspecified,,1
International,"Paldean Fates",061/091,61,Scrafty,Uncommon,Normal,English,Unspecified,,1
International,"Paldean Fates",062/091,62,Maschiff,Common,Normal,English,Unspecified,,1
International,"Paldean Fates",064/091,64,Varoom,Common,Normal,English,Unspecified,,1
International,"Paldean Fates",072/091,72,Oinkologne,Uncommon,Normal,English,Unspecified,,1
International,"Paldean Fates",073/091,73,Tandemaus,Common,Normal,English,Unspecified,,1
International,"Paldean Fates",074/091,74,Maushold,Uncommon,Normal,English,Unspecified,,3
International,"Paldean Fates",077/091,77,Atticus,Uncommon,Normal,English,Unspecified,,1
International,"Paldean Fates",086/091,86,"Paldean Student",Common,Normal,English,Unspecified,,1
International,"Paradox Rift",001/182,1,Surskit,Common,Normal,English,Unspecified,,1
International,"Paradox Rift",004/182,4,Pansage,Common,Normal,English,Unspecified,,1
International,"Paradox Rift",006/182,6,Dwebble,Common,Normal,English,Unspecified,,3
International,"Paradox Rift",008/182,8,Bounsweet,Common,Normal,English,Unspecified,,1
International,"Paradox Rift",009/182,9,Steenee,Uncommon,Normal,English,Unspecified,,1
International,"Paradox Rift",010/182,10,Blipbug,Common,Normal,English,Unspecified,,2
International,"Paradox Rift",015/182,15,Toedscool,Common,"Reverse Holo",English,Unspecified,,1
International,"Paradox Rift",019/182,19,Magby,Common,Normal,English,Unspecified,,3
International,"Paradox Rift",021/182,21,Simisear,Uncommon,Normal,English,Unspecified,,2
International,"Paradox Rift",022/182,22,Volcanion,Rare,"Normal Holo",English,Unspecified,,1
International,"Paradox Rift",023/182,23,Fuecoco,Common,Normal,English,Unspecified,,1
International,"Paradox Rift",024/182,24,Crocalor,Uncommon,Normal,English,Unspecified,,2
International,"Paradox Rift",028/182,28,"Iron Moth",Rare,"Normal Holo",English,Unspecified,,1
International,"Paradox Rift",029/182,29,Chi-Yu,Rare,Non-holo,English,Unspecified,,3
International,"Paradox Rift",030/182,30,Horsea,Common,Normal,English,Unspecified,,3
International,"Paradox Rift",032/182,32,Kingdra,Rare,"Normal Holo",English,Unspecified,,1
International,"Paradox Rift",033/182,33,Remoraid,Common,Normal,English,Unspecified,,2
International,"Paradox Rift",034/182,34,Octillery,Common,Normal,English,Unspecified,,2
International,"Paradox Rift",037/182,37,Snorunt,Common,Normal,English,Unspecified,,2
International,"Paradox Rift",041/182,41,Panpour,Common,Normal,English,Unspecified,,1
International,"Paradox Rift",044/182,44,Vanillish,Common,"Reverse Holo",English,Unspecified,,1
International,"Paradox Rift",047/182,47,Wimpod,Common,Normal,English,Unspecified,,3
International,"Paradox Rift",049/182,49,Golisopod,Rare,Non-holo,English,Unspecified,,3
International,"Paradox Rift",052/182,52,Wiglett,Common,Normal,English,Unspecified,,1
International,"Paradox Rift",055/182,55,Dondozo,Uncommon,Normal,English,Unspecified,,1
International,"Paradox Rift",056/182,56,"Iron Bundle",Uncommon,Normal,English,Unspecified,,1
International,"Paradox Rift",059/182,59,Elekid,Common,Normal,English,Unspecified,,1
International,"Paradox Rift",062/182,62,Blitzle,Common,Normal,English,Unspecified,,1
International,"Paradox Rift",062/182,62,Blitzle,Common,"Reverse Holo",English,Unspecified,,1
International,"Paradox Rift",064/182,64,Joltik,Common,Normal,English,Unspecified,,3
International,"Paradox Rift",065/182,65,Galvantula,Common,Normal,English,Unspecified,,1
International,"Paradox Rift",066/182,66,Zekrom,Rare,"Normal Holo",English,Unspecified,,1
International,"Paradox Rift",066/182,66,Zekrom,Rare,"Reverse Holo",English,Unspecified,,1
International,"Paradox Rift",067/182,67,Oricorio,Common,Normal,English,Unspecified,,2
International,"Paradox Rift",069/182,69,Toxel,Common,Normal,English,Unspecified,,2
International,"Paradox Rift",071/182,71,Natu,Common,Normal,English,Unspecified,,2
International,"Paradox Rift",072/182,72,Xatu,Rare,"Normal Holo",English,Unspecified,,1
International,"Paradox Rift",077/182,77,Pumpkaboo,Common,Normal,English,Unspecified,,1
International,"Paradox Rift",078/182,78,Gourgeist,Uncommon,"Trick or Trade 2024",English,Unspecified,,1
International,"Paradox Rift",085/182,85,Tinkaton,Uncommon,Normal,English,Unspecified,,2
International,"Paradox Rift",094/182,94,Gible,Common,Normal,English,Unspecified,,1
International,"Paradox Rift",096/182,96,Mienfoo,Common,Normal,English,Unspecified,,1
International,"Paradox Rift",099/182,99,Minior,Uncommon,Normal,English,Unspecified,,1
International,"Paradox Rift",101/182,101,Nacli,Common,"Reverse Holo",English,Unspecified,,1
International,"Paradox Rift",106/182,106,Flamigo,Common,Normal,English,Unspecified,,1
International,"Paradox Rift",110/182,110,Zubat,Common,Normal,English,Unspecified,,1
International,"Paradox Rift",112/182,112,Crobat,Uncommon,Normal,English,Unspecified,,2
International,"Paradox Rift",113/182,113,Absol,Uncommon,Normal,English,Unspecified,,1
International,"Paradox Rift",114/182,114,Purrloin,Common,Normal,English,Unspecified,,1
International,"Paradox Rift",115/182,115,Liepard,Common,Normal,English,Unspecified,,1
International,"Paradox Rift",116/182,116,Trubbish,Common,Normal,English,Unspecified,,1
International,"Paradox Rift",117/182,117,Garbodor,Uncommon,Normal,English,Unspecified,,1
International,"Paradox Rift",122/182,122,Lokix,Rare,"Reverse Holo",English,Unspecified,,1
International,"Paradox Rift",125/182,125,Steelix,Rare,"Normal Holo",English,Unspecified,,1
International,"Paradox Rift",125/182,125,Steelix,Rare,"Reverse Holo",English,Unspecified,,1
International,"Paradox Rift",129/182,129,Durant,Uncommon,Normal,English,Unspecified,,1
International,"Paradox Rift",130/182,130,Honedge,Common,Normal,English,Unspecified,,1
International,"Paradox Rift",130/182,130,Honedge,Common,"Reverse Holo",English,Unspecified,,1
International,"Paradox Rift",131/182,131,Honedge,Common,Normal,English,Unspecified,,1
International,"Paradox Rift",133/182,133,Doublade,Common,Normal,English,Unspecified,,1
International,"Paradox Rift",138/182,138,Orthworm,Uncommon,Normal,English,Unspecified,,2
International,"Paradox Rift",142/182,142,Porygon,Common,Normal,English,Unspecified,,1
International,"Paradox Rift",146/182,146,Ambipom,Uncommon,Normal,English,Unspecified,,1
International,"Paradox Rift",147/182,147,Miltank,Common,"Reverse Holo",English,Unspecified,,1
International,"Paradox Rift",148/182,148,Whismur,Common,Normal,English,Unspecified,,1
International,"Paradox Rift",149/182,149,Loudred,Common,Normal,English,Unspecified,,2
International,"Paradox Rift",150/182,150,Exploud,Uncommon,"Reverse Holo",English,Unspecified,,1
International,"Paradox Rift",153/182,153,Tandemaus,Common,Normal,English,Unspecified,,1
International,"Paradox Rift",157/182,157,Cyclizar,Uncommon,Normal,English,Unspecified,,2
International,"Paradox Rift",163/182,163,"Earthen Vessel",Uncommon,Normal,English,Unspecified,,2
International,"Paradox Rift",164/182,164,"Future Booster Energy Capsule",Uncommon,"Reverse Holo",English,Unspecified,,1
International,"Paradox Rift",165/182,165,Larry,Common,Normal,English,Unspecified,,1
International,"Paradox Rift",167/182,167,Mela,Uncommon,Normal,English,Unspecified,,1
International,"Paradox Rift",169/182,169,"Parasol Lady",Common,Normal,English,Unspecified,,1
International,"Paradox Rift",169/182,169,"Parasol Lady",Common,"Reverse Holo",English,Unspecified,,1
International,"Paradox Rift",172/182,172,Rika,Uncommon,"Reverse Holo",English,Unspecified,,1
International,"Paradox Rift",173/182,173,Roark,Uncommon,Normal,English,Unspecified,,2
International,"Paradox Rift",174/182,174,Shauntal,Uncommon,Normal,English,Unspecified,,1
International,"Paradox Rift",175/182,175,"Snorlax Doll",Uncommon,Normal,English,Unspecified,,1
International,"Paradox Rift",179/182,179,"Technical Machine: Turbo Energize",Uncommon,Normal,English,Unspecified,,1
International,"Paradox Rift",181/182,181,Tulip,Uncommon,Normal,English,Unspecified,,1
International,"Paradox Rift",215/182,215,Cyclizar,"Illustration Rare","Normal Holo",English,Unspecified,,1
International,"Paradox Rift",238/182,238,"Parasol Lady","Ultra Rare","Normal Holo",English,Unspecified,,1
International,"Paradox Rift",244/182,244,Tulip,"Ultra Rare","Normal Holo",English,Unspecified,,1
International,"Paradox Rift",266/182,266,"Reversal Energy","Hyper Rare","Normal Holo",English,Unspecified,,1
International,"Scarlet & Violet 151",001/165,1,Bulbasaur,Common,Normal,English,Unspecified,,1
International,"Scarlet & Violet 151",001/165,1,Bulbasaur,Common,"Reverse Holo",English,Unspecified,,1
International,"Scarlet & Violet 151",002/165,2,Ivysaur,Uncommon,"Reverse Holo",English,Unspecified,,1
International,"Scarlet & Violet 151",003/165,3,"Venusaur ex","Double Rare","Normal Holo",English,Unspecified,,1
International,"Scarlet & Violet 151",004/165,4,Charmander,Common,Normal,English,Unspecified,,2
International,"Scarlet & Violet 151",004/165,4,Charmander,Common,"Reverse Holo",English,Unspecified,,1
International,"Scarlet & Violet 151",005/165,5,Charmeleon,Uncommon,Normal,English,Unspecified,,1
International,"Scarlet & Violet 151",007/165,7,Squirtle,Common,"Reverse Holo",English,Unspecified,,1
International,"Scarlet & Violet 151",009/165,9,"Blastoise ex","Double Rare","Normal Holo",English,Unspecified,,1
International,"Scarlet & Violet 151",010/165,10,Caterpie,Common,Normal,English,Unspecified,,1
International,"Scarlet & Violet 151",011/165,11,Metapod,Common,Normal,English,Unspecified,,1
International,"Scarlet & Violet 151",012/165,12,Butterfree,Uncommon,Normal,English,Unspecified,,1
International,"Scarlet & Violet 151",013/165,13,Weedle,Common,Normal,English,Unspecified,,2
International,"Scarlet & Violet 151",014/165,14,Kakuna,Common,Normal,English,Unspecified,,1
International,"Scarlet & Violet 151",016/165,16,Pidgey,Common,Normal,English,Unspecified,,2
International,"Scarlet & Violet 151",017/165,17,Pidgeotto,Common,Normal,English,Unspecified,,1
International,"Scarlet & Violet 151",020/165,20,Raticate,Uncommon,Normal,English,Unspecified,,2
International,"Scarlet & Violet 151",020/165,20,Raticate,Uncommon,"Reverse Holo",English,Unspecified,,1
International,"Scarlet & Violet 151",021/165,21,Spearow,Common,Normal,English,Unspecified,,2
International,"Scarlet & Violet 151",022/165,22,Fearow,Uncommon,Normal,English,Unspecified,,1
International,"Scarlet & Violet 151",023/165,23,Ekans,Common,Normal,English,Unspecified,,3
International,"Scarlet & Violet 151",025/165,25,Pikachu,Common,Normal,English,Unspecified,,1
International,"Scarlet & Violet 151",026/165,26,Raichu,Rare,"Normal Holo",English,Unspecified,,1
International,"Scarlet & Violet 151",027/165,27,Sandshrew,Common,Normal,English,Unspecified,,1
International,"Scarlet & Violet 151",027/165,27,Sandshrew,Common,"Reverse Holo",English,Unspecified,,1
International,"Scarlet & Violet 151",028/165,28,Sandslash,Uncommon,Normal,English,Unspecified,,1
International,"Scarlet & Violet 151",029/165,29,"Nidoran ♀",Common,Normal,English,Unspecified,,1
International,"Scarlet & Violet 151",030/165,30,Nidorina,Uncommon,Normal,English,Unspecified,,2
International,"Scarlet & Violet 151",031/165,31,Nidoqueen,Uncommon,Normal,English,Unspecified,,1
International,"Scarlet & Violet 151",032/165,32,"Nidoran ♂",Common,Normal,English,Unspecified,,1
International,"Scarlet & Violet 151",033/165,33,Nidorino,Uncommon,Normal,English,Unspecified,,1
International,"Scarlet & Violet 151",033/165,33,Nidorino,Uncommon,"Reverse Holo",English,Unspecified,,1
International,"Scarlet & Violet 151",034/165,34,Nidoking,Rare,"Normal Holo",English,Unspecified,,1
International,"Scarlet & Violet 151",036/165,36,Clefable,Uncommon,Normal,English,Unspecified,,1
International,"Scarlet & Violet 151",037/165,37,Vulpix,Common,Normal,English,Unspecified,,1
International,"Scarlet & Violet 151",039/165,39,Jigglypuff,Common,Normal,English,Unspecified,,3
International,"Scarlet & Violet 151",042/165,42,Golbat,Uncommon,Normal,English,Unspecified,,1
International,"Scarlet & Violet 151",043/165,43,Oddish,Common,Normal,English,Unspecified,,2
International,"Scarlet & Violet 151",043/165,43,Oddish,Common,"Reverse Holo",English,Unspecified,,1
International,"Scarlet & Violet 151",044/165,44,Gloom,Uncommon,Normal,English,Unspecified,,1
International,"Scarlet & Violet 151",045/165,45,Vileplume,Rare,"Normal Holo",English,Unspecified,,2
International,"Scarlet & Violet 151",046/165,46,Paras,Common,Normal,English,Unspecified,,1
International,"Scarlet & Violet 151",047/165,47,Parasect,Uncommon,Normal,English,Unspecified,,1
International,"Scarlet & Violet 151",048/165,48,Venonat,Common,Normal,English,Unspecified,,1
International,"Scarlet & Violet 151",048/165,48,Venonat,Common,"Reverse Holo",English,Unspecified,,1
International,"Scarlet & Violet 151",049/165,49,Venomoth,Uncommon,Normal,English,Unspecified,,1
International,"Scarlet & Violet 151",049/165,49,Venomoth,Uncommon,"Reverse Holo",English,Unspecified,,1
International,"Scarlet & Violet 151",050/165,50,Diglett,Common,Normal,English,Unspecified,,1
International,"Scarlet & Violet 151",052/165,52,Meowth,Common,Normal,English,Unspecified,,1
International,"Scarlet & Violet 151",053/165,53,Persian,Uncommon,Normal,English,Unspecified,,2
International,"Scarlet & Violet 151",053/165,53,Persian,Uncommon,"Reverse Holo",English,Unspecified,,1
International,"Scarlet & Violet 151",054/165,54,Psyduck,Common,Normal,English,Unspecified,,1
International,"Scarlet & Violet 151",055/165,55,Golduck,Uncommon,"Reverse Holo",English,Unspecified,,1
International,"Scarlet & Violet 151",056/165,56,Mankey,Common,Normal,English,Unspecified,,2
International,"Scarlet & Violet 151",057/165,57,Primeape,Uncommon,Normal,English,Unspecified,,2
International,"Scarlet & Violet 151",058/165,58,Growlithe,Common,Normal,English,Unspecified,,4
International,"Scarlet & Violet 151",059/165,59,Arcanine,Uncommon,"Reverse Holo",English,Unspecified,,1
International,"Scarlet & Violet 151",060/165,60,Poliwag,Common,Normal,English,Unspecified,,3
International,"Scarlet & Violet 151",060/165,60,Poliwag,Common,"Reverse Holo",English,Unspecified,,1
International,"Scarlet & Violet 151",062/165,62,Poliwrath,Uncommon,"Reverse Holo",English,Unspecified,,1
International,"Scarlet & Violet 151",063/165,63,Abra,Common,Normal,English,Unspecified,,2
International,"Scarlet & Violet 151",064/165,64,Kadabra,Uncommon,Normal,English,Unspecified,,1
International,"Scarlet & Violet 151",066/165,66,Machop,Common,Normal,English,Unspecified,,1
International,"Scarlet & Violet 151",067/165,67,Machoke,Uncommon,"Reverse Holo",English,Unspecified,,1
International,"Scarlet & Violet 151",069/165,69,Bellsprout,Common,Normal,English,Unspecified,,2
International,"Scarlet & Violet 151",070/165,70,Weepinbell,Common,Normal,English,Unspecified,,1
International,"Scarlet & Violet 151",071/165,71,Victreebel,Uncommon,Normal,English,Unspecified,,1
International,"Scarlet & Violet 151",071/165,71,Victreebel,Uncommon,"Reverse Holo",English,Unspecified,,1
International,"Scarlet & Violet 151",072/165,72,Tentacool,Common,"Reverse Holo",English,Unspecified,,1
International,"Scarlet & Violet 151",073/165,73,Tentacruel,Uncommon,Normal,English,Unspecified,,1
International,"Scarlet & Violet 151",073/165,73,Tentacruel,Uncommon,"Reverse Holo",English,Unspecified,,1
International,"Scarlet & Violet 151",074/165,74,Geodude,Common,Normal,English,Unspecified,,2
International,"Scarlet & Violet 151",074/165,74,Geodude,Common,"Reverse Holo",English,Unspecified,,1
International,"Scarlet & Violet 151",075/165,75,Graveler,Uncommon,Normal,English,Unspecified,,1
International,"Scarlet & Violet 151",076/165,76,"Golem ex","Double Rare","Normal Holo",English,Unspecified,,1
International,"Scarlet & Violet 151",077/165,77,Ponyta,Common,Normal,English,Unspecified,,1
International,"Scarlet & Violet 151",078/165,78,Rapidash,Uncommon,Normal,English,Unspecified,,2
International,"Scarlet & Violet 151",078/165,78,Rapidash,Uncommon,"Reverse Holo",English,Unspecified,,1
International,"Scarlet & Violet 151",079/165,79,Slowpoke,Common,Normal,English,Unspecified,,3
International,"Scarlet & Violet 151",080/165,80,Slowbro,Uncommon,Normal,English,Unspecified,,1
International,"Scarlet & Violet 151",081/165,81,Magnemite,Common,Normal,English,Unspecified,,2
International,"Scarlet & Violet 151",082/165,82,Magneton,Uncommon,Normal,English,Unspecified,,3
International,"Scarlet & Violet 151",083/165,83,Farfetch'd,Common,Normal,English,Unspecified,,3
International,"Scarlet & Violet 151",085/165,85,Dodrio,Rare,"Normal Holo",English,Unspecified,,1
International,"Scarlet & Violet 151",087/165,87,Dewgong,Uncommon,"Reverse Holo",English,Unspecified,,1
International,"Scarlet & Violet 151",088/165,88,Grimer,Common,Normal,English,Unspecified,,1
International,"Scarlet & Violet 151",089/165,89,Muk,Uncommon,Normal,English,Unspecified,,2
International,"Scarlet & Violet 151",090/165,90,Shellder,Common,Normal,English,Unspecified,,4
International,"Scarlet & Violet 151",091/165,91,Cloyster,Uncommon,Normal,English,Unspecified,,1
International,"Scarlet & Violet 151",092/165,92,Gastly,Common,Normal,English,Unspecified,,1
International,"Scarlet & Violet 151",093/165,93,Haunter,Uncommon,Normal,English,Unspecified,,1
International,"Scarlet & Violet 151",095/165,95,Onix,Uncommon,Normal,English,Unspecified,,1
International,"Scarlet & Violet 151",095/165,95,Onix,Uncommon,"Reverse Holo",English,Unspecified,,1
International,"Scarlet & Violet 151",096/165,96,Drowzee,Common,Normal,English,Unspecified,,2
International,"Scarlet & Violet 151",098/165,98,Krabby,Common,Normal,English,Unspecified,,1
International,"Scarlet & Violet 151",099/165,99,Kingler,Uncommon,Normal,English,Unspecified,,2
International,"Scarlet & Violet 151",100/165,100,Voltorb,Common,Normal,English,Unspecified,,1
International,"Scarlet & Violet 151",100/165,100,Voltorb,Common,"Reverse Holo",English,Unspecified,,1
International,"Scarlet & Violet 151",103/165,103,Exeggutor,Uncommon,Normal,English,Unspecified,,2
International,"Scarlet & Violet 151",104/165,104,Cubone,Common,Normal,English,Unspecified,,2
International,"Scarlet & Violet 151",104/165,104,Cubone,Common,"Reverse Holo",English,Unspecified,,1
International,"Scarlet & Violet 151",107/165,107,Hitmonchan,Uncommon,Normal,English,Unspecified,,1
International,"Scarlet & Violet 151",108/165,108,Lickitung,Common,"Reverse Holo",English,Unspecified,,1
International,"Scarlet & Violet 151",109/165,109,Koffing,Common,Normal,English,Unspecified,,1
International,"Scarlet & Violet 151",110/165,110,Weezing,Rare,"Normal Holo",English,Unspecified,,1
International,"Scarlet & Violet 151",111/165,111,Rhyhorn,Common,Normal,English,Unspecified,,2
